State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Computer,sex_ratio,literacy_rate
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,8517,562505,3873,1823930,147842,7050,4951,1203,7328,311,183340,40774,112.0,65.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,2825,318001,164,1075440,750368,5952,5295,189,517,21,89329,18303,110.0,53.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,2488,309980,15,1375788,273967,1263,504,2033,606,65,61491,18082,114.0,61.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,2682,460544,801,1612968,176327,1300,478,819,155,103,49753,25354,116.0,65.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,1503,555397,193,1372381,220423,2225,522,687,545,3,43753,15029,110.0,51.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,3486,544231,80269,2928462,620244,5006,767,4619,383,133,127331,35931,104.0,55.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,1079,240519,71610,1163804,33724,1351,1034,69,20390,41,77082,9906,110.0,52.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,68506,948294,7506,3537787,985070,20493,23883,3877,4975,504,582769,152257,109.0,68.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,1316,220898,647,815142,57454,965,389,94,234,157,42936,11298,114.0,56.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,2642,368206,478,1746649,100723,1729,475,8814,4161,38,79022,24451,114.0,64.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,8726,506580,1520,2310776,216933,3179,2872,883,2056,126,281239,37596,116.0,59.0
