State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Computer,sex_ratio,literacy_rate
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,6764,318569,67180,2487866,537098,3556,415,180,1050,32,174534,46929,114.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,3661,425402,13977,2518216,197819,2165,544,647,1472,48,62153,34658,110.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,1784,251737,26824,1591454,105423,2125,248,5090,97,57,46760,19324,109.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,6280,615688,2772,3042729,881476,3534,832,245,236,101,127442,53205,110.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,6856,1334351,3098,3876395,488121,3943,913,870,1723,108,112617,57011,107.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,3707,320064,60807,2119262,436057,2463,271,167,133,28,69375,33596,98.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,1839,302649,78793,1525746,217621,8443,162,159,87,3438,32633,22414,108.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,1106,222974,1285,1045117,75742,691,148,248,60,58,27641,11302,108.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,2941,263100,179971,1684589,1365645,8659,2754,212,507,2141,60900,27263,109.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,1580,247161,675,1486989,175588,1253,143,79,86,115,40641,21654,113.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,1093,113118,64224,531236,1149095,5783,398,183,1476,28,58718,14073,105.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,1186,153209,8333,956396,40886,487,140,52,78,52,44491,8862,111.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,1397,346275,12532,1753829,241760,1342,170,60,133,81,23236,23309,110.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,5319,587158,3990,3652168,818912,3262,564,328,442,169,113281,65548,108.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,2653,183846,21404,1252319,110416,1815,338,95,145,61,90461,17946,114.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,10290,751975,5979,4032773,745546,5149,933,288,382,98,180651,73012,111.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,4156,607672,1442,2669775,198033,1978,393,414,561,64,101378,43848,108.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,1841,565112,2045,1964620,244394,1299,250,176,279,80,31162,28411,107.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,3495,553944,250046,3047427,865090,8469,926,1337,296,1895,57546,41143,110.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,40692,920918,9069,5356075,439952,12551,4803,1062,2151,203,546859,132582,112.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,7719,649726,12461,4086453,990349,4865,668,878,464,104,74979,70258,111.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,4170,390991,139490,1989420,1255641,7989,614,353,1450,650,86058,33664,109.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,4594,549546,31650,2645415,300487,2889,2569,1584,252,537,114893,36279,109.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,1668,317249,6009,1629254,266620,1292,197,60,109,8,41342,19415,110.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,5379,803128,1884,3800598,452370,2126,554,292,231,112,88021,50918,110.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,4509,474066,36786,3534772,406449,2330,371,229,322,107,94787,37442,105.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,631,131115,617,596102,37653,313,75,41,43,31,20065,8873,108.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,478,96655,318,552492,99342,522,216,73,52,44,10004,6698,112.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,3460,405714,2989,2672311,740101,2897,261,253,188,20,66263,42461,111.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,3834,386685,87000,2712635,608282,2618,369,407,359,86,52935,37833,101.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,1845,354249,10168,1809936,409251,3758,271,136,546,42,51028,25078,108.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,4810,738031,2274,3152346,333980,2203,707,362,246,71,70001,39564,112.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,44283,199086,0,852574,51447,8720,138329,1160,1960,246,231204,78113,122.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,1782,37963,931780,1277975,12413,27951,2099,985,3466,86925,157646,9042,98.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,1574,98989,10693,371973,6984,236,2387,113,10,7,79146,6281,102.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,8566,552992,498469,2540763,57973,20745,6373,2979,2357,29122,519704,30892,103.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,1574,98989,10693,371973,6984,236,2387,113,10,7,79146,6281,102.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,8566,552992,498469,2540763,57973,20745,6373,2979,2357,29122,519704,30892,103.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,1016,58581,207633,777188,10425,2644,1196,667,3612,3685,148926,4804,99.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,16141,458040,397416,3129745,83499,24304,24276,19587,17209,42569,614109,51289,101.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,567,48844,530378,629509,15336,189588,474,467,694,14835,76783,5755,99.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,4544,124679,493559,1133176,30195,21059,3666,897,753,15649,202380,18004,103.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,1667,54776,304280,604259,25878,9398,1391,84,1155,15474,80023,7609,103.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,961,139581,279896,1008061,12570,5284,2941,521,1495,1417,212487,5614,98.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,3342,224942,505609,1422986,17332,47653,2117,781,409,1782,297308,13857,101.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,38570,134952,305125,2239370,227465,17452,7477,121791,12260,1159,547206,96301,104.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,3342,224942,505609,1422986,17332,47653,2117,781,409,1782,297308,13857,101.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,38570,134952,305125,2239370,227465,17452,7477,121791,12260,1159,547206,96301,104.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,20261,724250,476446,3881485,103038,23181,16707,8397,17137,10680,728556,59523,102.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,2737,115652,1300628,2126195,81442,97432,2303,1287,623,48295,253131,18983,102.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,1316,4262,15240,171537,16087,2618,169,216,244,79,49249,4543,187.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,6628,265793,55571,2397056,334858,2586,1110,1291,3841,77,498326,26991,105.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,6628,265793,55571,2397056,334858,2586,1110,1291,3841,77,498326,26991,105.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,23440,17606,56606,622213,57941,134169,618,553,546,166,173951,56266,104.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,17624,7843,92669,341664,63623,231961,855,542,563,92,138810,44299,101.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,126341,759483,89138,6042416,883238,50754,14542,4518,209287,2055,1456046,273651,111.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,2538,132915,7322,1410463,99105,919,415,243,2053,40,273331,12765,104.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,9902,104465,24824,1798794,250919,29789,1524,267,8591,142,378310,32523,108.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,3424,327460,284155,2890305,213505,1686,486,281,12659,83,396873,23149,107.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,10257,62235,488194,1188204,343511,9494,1733,442,4813,342,309091,29531,108.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,7297,157034,9110,2632574,212863,3457,1410,445,26974,127,500757,28925,107.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,12107,108608,18204,1319586,57273,3237,1985,497,6405,82,262539,33662,108.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,11573,173895,24187,1810443,320805,4392,1873,1086,18856,136,386538,30384,107.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,9631,258859,24228,1608921,442355,6192,6353,490,25312,98,403294,31961,110.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,5710,115631,40336,2000884,264482,26629,1403,300,3479,82,372226,24502,106.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,7759,162288,9392,1885732,136431,1954,1082,146,7087,88,385609,33731,108.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,576,8733,481392,559848,22600,4413,147,80,373,2078,101940,4081,104.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,6726,35464,639659,1225087,78669,5733,2459,601,13386,2823,267679,24397,104.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,3456,100446,721604,2220974,158513,2863,662,337,5236,131,398937,19753,105.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,2231,123408,13303,1194745,142797,916,337,66,3602,66,223424,12870,107.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,1653,51830,13039,549749,33565,500,248,91,515,38,117040,5639,105.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,21785,290169,24017,3397406,361388,5478,1918,1170,33591,269,747352,67370,108.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,5262,187685,542156,2260560,148563,6375,614,168,11110,52,438606,25425,105.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,55694,158115,856952,5260193,660772,21052,5703,12902,112835,3920,1252452,149331,127.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,2975,179461,21453,1620282,109681,1419,512,312,22992,128,302068,15309,108.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,113821,114470,140968,137,992,216073,203545,3593,20029,69,32,39,560,29794,1393,99.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,53606,221629,1149901,3713941,384579,23813,9340,2069,27650,1124,798277,117818,107.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,887222,818456,1170657,11020,38237,902794,1571147,94034,19661,1589,913,13809,1417,329218,31285,108.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,12899,296246,0,955096,22143,3705,138202,381,4845,110,199681,32767,113.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,5292,341162,0,1611031,15515,873,2401,254,1016,26,266244,25236,113.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,966110,843623,1272739,43437,223799,0,1588407,161680,9743,34572,640,4883,249,333171,82673,115.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,495360,446651,557578,3210,284357,0,779243,8360,996,150969,171,1172,530,153301,13142,111.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,816690,697742,1111116,67087,197937,0,1408801,70842,9725,15097,944,7451,254,305751,102343,117.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,10132,408785,0,1701061,21650,1945,12270,334,3620,33,285004,33400,115.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,514667,443738,676091,5034,170448,0,945693,8247,734,1042,105,645,22,168558,19241,116.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,5263,282351,0,1276669,23016,889,29103,172,2594,56,222462,23750,115.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,571003,503301,646529,3724,247513,0,974520,8232,1769,87558,265,351,70,187349,15301,113.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,797712,707612,978013,11163,339604,0,1341002,31650,2049,126207,532,1516,49,267223,29253,113.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,510976,453679,646893,7356,215128,0,805175,15970,1943,140395,214,375,106,171908,21951,113.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,486665,435423,630255,2624,156314,0,913251,5660,301,1737,75,644,15,135455,13908,112.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,299679,261614,405318,18615,101830,0,490702,23451,2583,40951,1008,1626,90,103455,32174,115.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,646857,558580,786599,10024,206213,0,1083936,86622,2261,25064,289,4647,99,209965,26719,116.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,474335,425997,636947,5121,182606,0,889133,5713,701,1804,202,1525,12,152651,18092,111.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,568479,492725,747582,8482,216889,0,1043887,8185,732,3916,200,3491,24,193120,27225,115.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,682582,612607,782897,6287,387381,0,940255,9524,2186,338962,370,2256,624,215527,22706,111.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,261320,257760,323842,1615,111690,135500,479782,32455,1559,2745,1740,57,14,96082,5117,101.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,217070,237698,358091,2521,109256,3044,449412,3711,243,591,95,293,9,104120,7525,91.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,593537,510748,653299,1196,241198,474,1010014,91269,814,196,74,41,273,55929,11037,116.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,2521,109256,3044,449412,3711,243,591,95,293,9,104120,7525,91.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,1196,241198,474,1010014,91269,814,196,74,41,273,55929,11037,116.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,750591,759484,1152640,8053,319385,84564,1461140,19797,3023,8929,14511,194,208,330081,22753,99.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,46249,37872,60699,354,14750,48746,64732,448,485,249,18086,29,45,17865,2563,122.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,225452,212451,307672,2623,122659,16822,415669,2974,1568,1396,15377,94,83,91322,7010,106.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,498065,501712,723747,5333,293739,12787,981412,9460,876,4081,2628,43,86,214491,16401,99.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,425039,388971,612642,9177,215777,8755,791449,11810,2025,4047,3262,185,197,172754,24127,109.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,276289,253566,362645,2220,160745,11262,476830,33215,577,15501,2645,236,86,91509,8593,109.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,308754,271566,428578,5250,164536,25645,548579,14678,1452,13926,574,591,110,119866,14478,114.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,263692,257481,399715,2412,115491,8601,480138,14275,390,26009,56,70,10,105929,8238,102.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,213641,196295,219083,596,53408,39216,187621,220614,472,422,21,22,42,61831,3077,109.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,813821,716137,1137135,19905,377991,69193,1289240,107489,12104,114272,470,1987,321,294739,46657,114.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,77785,63017,86236,235,18,122336,10341,108239,604,1171,20126,28,4,15824,1005,123.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,326109,290326,389204,1443,141224,53307,540063,64234,1828,9551,24,16,2,109422,6112,112.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,293064,267376,293958,1537,402,22607,13840,535159,1109,9440,35,6,18,73629,5293,110.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,251899,224936,261724,346,556,176101,32604,431279,958,11188,83,10,2,62900,3342,112.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,651124,585705,748584,16413,1068,8935,42540,1177342,2746,12187,285,74,2,165403,33831,111.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,296784,258201,322354,1214,138569,56309,489044,59771,1962,3418,106,57,235,73999,5744,115.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1072807,989523,1273520,9754,299227,255626,1636460,241451,13730,4174,1890,2045,160524,274726,37997,108.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,533935,508951,510061,590,340553,45563,903179,116710,6565,888,35,129,12936,27037,9115,105.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,775022,717051,793538,1944,190036,180962,1165140,302626,6027,143,188,282,16067,130193,13550,108.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1405956,1278531,1722204,11568,437309,233119,2149480,431762,11243,9727,331,1268,77182,427173,46646,110.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,668514,652928,672409,1193,79614,571077,1044726,106865,86404,234,267,162,78622,62110,10396,102.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,683575,639209,653476,565,319946,205874,1104475,194680,17168,123,371,20,4591,29373,8881,107.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1258098,1187376,1253475,1944,325493,238188,1856202,508586,14645,937,650,1503,59218,125431,19976,106.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,677927,635624,604519,874,115567,279208,937126,289182,37795,97,128,115,47067,43230,11925,107.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,514390,510823,559720,831,32459,706754,309563,51429,202449,221,531,23,457468,31687,7807,101.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,404830,386212,426312,808,72885,240489,550560,164406,4419,520,118,783,68564,49419,4959,105.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,369666,357312,350682,340,154910,331096,473049,69808,47653,120,128,16,133525,38194,6240,103.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,351,15330,262734,112378,95012,16770,51,33,15,235987,28769,2954,102.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,452661,447761,352881,328,28469,379054,410127,322963,75865,356,283,222,88760,31414,4535,101.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,2155,536382,181208,1683169,238295,6164,734,188,284,5681,68238,19981,108.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,22538,152943,1042016,1612239,410759,193974,4826,932,2733,677445,350908,76565,105.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,591,72341,308343,628044,398243,83208,198,245,125,38426,34879,9563,105.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,423,44674,424407,201524,15103,306601,51,753,114,73930,16865,4649,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,3745,319149,97203,1634229,219991,3433,443,412,25198,166,301389,26297,101.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,3729,213700,52903,890429,92252,5368,389,272,1045,85,214253,17066,106.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,17560,577418,297198,4038331,528412,18418,2037,1086,178310,149,808827,73497,103.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,9626,517409,451406,2103633,320834,14014,1029,284,8044,54,440374,40190,102.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,3971,399785,235822,1289709,335184,35438,1145,30453,680,521,271439,36072,105.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,117,10122,204189,245151,1617,2709,68,1649,15,3793,12516,1462,102.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,4987,442773,39314,1786830,369588,2433,558,374,8665,499,326594,36571,104.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,4510,253651,44970,1004553,101235,26000,182,109,4710,4,238505,18727,99.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,5711,389117,302554,1520553,128751,3175,322,84,3778,128,307257,28897,103.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,7320,392595,233112,1658465,265805,5420,307,164,6417,1743,372671,39416,103.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,15013,177855,87548,1390020,386834,28747,1486,715,29037,2748,347962,49585,103.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,3373,174196,61654,907750,143665,3432,231,79,5993,74,198064,15625,102.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,9752,648782,65259,2011014,513125,8344,826,9589,4865,330,404767,52483,103.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,4851,345031,32329,1630814,120011,15611,289,623,5820,3,400702,23444,99.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,2456,219976,141380,1281878,297927,2406,419,68,9834,702,295937,17819,105.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,3308,73584,58054,448986,87274,17130,139,126,250,220,113931,10758,98.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,5051,465867,78875,1305431,199873,26722,253,150,2494,92,309494,27235,102.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,2135,258608,164271,1218024,161770,4081,296,85,2898,461,223166,15263,101.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,3367,265294,22402,1712695,77801,8506,322,299,3607,109,391033,20265,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,28397,536643,334547,2631985,290549,39361,1255,16194,14419,493,640868,80086,101.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,5200,400933,367071,1634062,272022,10394,538,2265,4156,29,314547,33903,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,8791,308158,65412,1479424,234664,26521,400,120,9234,367,363835,35207,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,7971,506901,209559,2413812,245923,9130,477,187,5067,161,562769,41751,102.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,9070,75429,52897,1009179,96740,65838,232,161,4534,155,224814,24817,91.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,28842,201211,6574,1460447,224545,435056,268,146,74,311,507913,71593,91.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,88737,268411,16559,1509557,514397,1248137,860,614,1176,1083,771287,184167,97.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,8250,145486,55815,541854,82206,481507,100,189,44,384,244844,24863,99.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,32653,83350,41371,1509592,742483,262526,424,1118,193,722,511167,83940,88.0,85.0
